"COL","ROW","GhostSeverity","Key1","Key2","Key3","GhostK","ActualK","ComputedK"
0, 1, 1, 4, 30, 33,"[{3   /}, {CapsLck}, {D}]","[]","[GhostKey]"
0, 1, 1, 4, 48, 44,"[{3   /}, {C}, {L-Shift}]","[]","[GhostKey]"
0, 1, 1, 41, 13, 39,"[{'  "}, {=   +}, {L}]","[]","[GhostKey]"
0, 1, 1, 5, 30, 34,"[{4   $}, {CapsLck}, {F}]","[]","[GhostKey]"
0, 1, 1, 5, 44, 49,"[{4   $}, {L-Shift}, {V}]","[]","[GhostKey]"
0, 1, 1, 53, 100, 103,"[{,   <}, {KP *}, {KP 3}]","[]","[GhostKey]"
0, 1, 1, 53, 12, 54,"[{,   <}, {-   _}, {.   >}]","[]","[GhostKey]"
0, 1, 1, 53, 15, 57,"[{,   <}, {Bkspace}, {R-Shift}]","[]","[GhostKey]"
0, 1, 1, 53, 55, 13,"[{,   <}, {/ ?}, {=   +}]","[]","[GhostKey]"
0, 1, 1, 53, 81, 83,"[{,   <}, {End}, {UpArrow}]","[]","[GhostKey]"
0, 1, 1, 53, 93, 90,"[{,   <}, {KP 1}, {NumLck}]","[]","[GhostKey]"
0, 1, 1, 53, 95, 98,"[{,   <}, {KP /}, {KP 2}]","[]","[GhostKey]"
0, 1, 1, 6, 30, 35,"[{5   %}, {CapsLck}, {G}]","[]","[GhostKey]"
0, 1, 1, 6, 50, 44,"[{5   %}, {B}, {L-Shift}]","[]","[GhostKey]"
0, 1, 1, 6, 58, 61,"[{5   %}, {L-Ctrl}, {Space}]","[]","[GhostKey]"
0, 1, 1, 7, 30, 36,"[{6   ^}, {CapsLck}, {H}]","[]","[GhostKey]"
0, 1, 1, 7, 44, 51,"[{6   ^}, {L-Shift}, {N}]","[]","[GhostKey]"
0, 1, 1, 76, 80, 39,"[{Delete}, {Home}, {L}]","[]","[GhostKey]"
0, 1, 1, 8, 30, 37,"[{7   &}, {CapsLck}, {J}]","[]","[GhostKey]"
0, 1, 1, 8, 44, 52,"[{7   &}, {L-Shift}, {M}]","[]","[GhostKey]"
0, 1, 1, 81, 39, 86,"[{End}, {L}, {PageDn}]","[]","[GhostKey]"
0, 1, 1, 9, 30, 38,"[{8   *}, {CapsLck}, {K}]","[]","[GhostKey]"
0, 1, 1, 9, 58, 62,"[{8   *}, {L-Ctrl}, {R-Alt}]","[]","[GhostKey]"
0, 1, 1, 92, 39, 90,"[{KP 4}, {L}, {NumLck}]","[]","[GhostKey]"
0, 1, 1, 95, 97, 39,"[{KP /}, {KP 5}, {L}]","[]","[GhostKey]"
0, 1, 2, 10, 25, 16,"[{9   (}, {O}, {Tab}]","[]","[{`   ~}]"
0, 1, 2, 100, 101, 26,"[{KP *}, {KP 9}, {P}]","[]","[{0   )}]"
0, 1, 2, 119, 90, 126,"[{F8}, {NumLck}, {PauseBrk}]","[]","[{0   )}]"
0, 1, 2, 12, 119, 120,"[{-   _}, {F8}, {F9}]","[]","[{0   )}]"
0, 1, 2, 12, 26, 27,"[{-   _}, {P}, {[   {}]","[]","[{0   )}]"
0, 1, 2, 12, 40, 39,"[{-   _}, {;   :}, {L}]","[]","[{0   )}]"
0, 1, 2, 123, 119, 80,"[{F12}, {F8}, {Home}]","[]","[{0   )}]"
0, 1, 2, 13, 121, 119,"[{=   +}, {F10}, {F8}]","[]","[{0   )}]"
0, 1, 2, 13, 26, 28,"[{=   +}, {P}, {]   }}]","[]","[{0   )}]"
0, 1, 2, 15, 122, 119,"[{Bkspace}, {F11}, {F8}]","[]","[{0   )}]"
0, 1, 2, 15, 26, 29,"[{Bkspace}, {P}, {\   |}]","[]","[{0   )}]"
0, 1, 2, 2, 110, 112,"[{1   !}, {Esc}, {F1}]","[]","[{`   ~}]"
0, 1, 2, 2, 17, 16,"[{1   !}, {Q}, {Tab}]","[]","[{`   ~}]"
0, 1, 2, 3, 110, 113,"[{2   @}, {Esc}, {F2}]","[]","[{`   ~}]"
0, 1, 2, 3, 16, 18,"[{2   @}, {Tab}, {W}]","[]","[{`   ~}]"
0, 1, 2, 4, 110, 114,"[{3   /}, {Esc}, {F3}]","[]","[{`   ~}]"
0, 1, 2, 4, 19, 16,"[{3   /}, {E}, {Tab}]","[]","[{`   ~}]"
0, 1, 2, 5, 110, 115,"[{4   $}, {Esc}, {F4}]","[]","[{`   ~}]"
0, 1, 2, 5, 20, 16,"[{4   $}, {R}, {Tab}]","[]","[{`   ~}]"
0, 1, 2, 6, 110, 116,"[{5   %}, {Esc}, {F5}]","[]","[{`   ~}]"
0, 1, 2, 6, 21, 16,"[{5   %}, {T}, {Tab}]","[]","[{`   ~}]"
0, 1, 2, 7, 110, 117,"[{6   ^}, {Esc}, {F6}]","[]","[{`   ~}]"
0, 1, 2, 7, 16, 22,"[{6   ^}, {Tab}, {Y}]","[]","[{`   ~}]"
0, 1, 2, 8, 110, 118,"[{7   &}, {Esc}, {F7}]","[]","[{`   ~}]"
0, 1, 2, 8, 16, 23,"[{7   &}, {Tab}, {U}]","[]","[{`   ~}]"
0, 1, 2, 80, 75, 26,"[{Home}, {Insert}, {P}]","[]","[{0   )}]"
0, 1, 2, 81, 119, 124,"[{End}, {F8}, {PrntScrn}]","[]","[{0   )}]"
0, 1, 2, 81, 26, 85,"[{End}, {P}, {PageUp}]","[]","[{0   )}]"
0, 1, 2, 9, 24, 16,"[{8   *}, {I}, {Tab}]","[]","[{`   ~}]"
0, 1, 2, 91, 90, 26,"[{KP 7}, {NumLck}, {P}]","[]","[{0   )}]"
0, 1, 2, 95, 96, 26,"[{KP /}, {KP 8}, {P}]","[]","[{0   )}]"
0, 2, 1, 110, 116, 21,"[{Esc}, {F5}, {T}]","[]","[GhostKey]"
0, 2, 1, 24, 58, 62,"[{I}, {L-Ctrl}, {R-Alt}]","[]","[GhostKey]"
0, 2, 1, 30, 24, 38,"[{CapsLck}, {I}, {K}]","[]","[GhostKey]"
0, 2, 1, 30, 32, 18,"[{CapsLck}, {S}, {W}]","[]","[GhostKey]"
0, 2, 1, 30, 33, 19,"[{CapsLck}, {D}, {E}]","[]","[GhostKey]"
0, 2, 1, 30, 34, 20,"[{CapsLck}, {F}, {R}]","[]","[GhostKey]"
0, 2, 1, 30, 35, 21,"[{CapsLck}, {G}, {T}]","[]","[GhostKey]"
0, 2, 1, 30, 36, 22,"[{CapsLck}, {H}, {Y}]","[]","[GhostKey]"
0, 2, 1, 30, 37, 23,"[{CapsLck}, {J}, {U}]","[]","[GhostKey]"
0, 2, 1, 31, 30, 17,"[{A}, {CapsLck}, {Q}]","[]","[GhostKey]"
0, 2, 1, 44, 17, 46,"[{L-Shift}, {Q}, {Z}]","[]","[GhostKey]"
0, 2, 1, 44, 18, 47,"[{L-Shift}, {W}, {X}]","[]","[GhostKey]"
0, 2, 1, 44, 20, 49,"[{L-Shift}, {R}, {V}]","[]","[GhostKey]"
0, 2, 1, 44, 51, 22,"[{L-Shift}, {N}, {Y}]","[]","[GhostKey]"
0, 2, 1, 44, 52, 23,"[{L-Shift}, {M}, {U}]","[]","[GhostKey]"
0, 2, 1, 48, 19, 44,"[{C}, {E}, {L-Shift}]","[]","[GhostKey]"
0, 2, 1, 50, 44, 21,"[{B}, {L-Shift}, {T}]","[]","[GhostKey]"
0, 2, 1, 58, 59, 17,"[{L-Ctrl}, {L-GUI}, {Q}]","[]","[GhostKey]"
0, 2, 1, 58, 61, 21,"[{L-Ctrl}, {Space}, {T}]","[]","[GhostKey]"
0, 2, 1, 60, 58, 18,"[{L-Alt}, {L-Ctrl}, {W}]","[]","[GhostKey]"
0, 2, 2, 10, 25, 1,"[{9   (}, {O}, {`   ~}]","[]","[{Tab}]"
0, 2, 2, 102, 101, 39,"[{KP 6}, {KP 9}, {L}]","[]","[{P}]"
0, 2, 2, 11, 100, 101,"[{0   )}, {KP *}, {KP 9}]","[]","[{P}]"
0, 2, 2, 11, 13, 28,"[{0   )}, {=   +}, {]   }}]","[]","[{P}]"
0, 2, 2, 11, 15, 29,"[{0   )}, {Bkspace}, {\   |}]","[]","[{P}]"
0, 2, 2, 11, 80, 75,"[{0   )}, {Home}, {Insert}]","[]","[{P}]"
0, 2, 2, 11, 81, 85,"[{0   )}, {End}, {PageUp}]","[]","[{P}]"
0, 2, 2, 11, 91, 90,"[{0   )}, {KP 7}, {NumLck}]","[]","[{P}]"
0, 2, 2, 11, 95, 96,"[{0   )}, {KP /}, {KP 8}]","[]","[{P}]"
0, 2, 2, 110, 112, 17,"[{Esc}, {F1}, {Q}]","[]","[{Tab}]"
0, 2, 2, 110, 113, 18,"[{Esc}, {F2}, {W}]","[]","[{Tab}]"
0, 2, 2, 110, 115, 20,"[{Esc}, {F4}, {R}]","[]","[{Tab}]"
0, 2, 2, 110, 117, 22,"[{Esc}, {F6}, {Y}]","[]","[{Tab}]"
0, 2, 2, 110, 118, 23,"[{Esc}, {F7}, {U}]","[]","[{Tab}]"
0, 2, 2, 119, 120, 27,"[{F8}, {F9}, {[   {}]","[]","[{P}]"
0, 2, 2, 119, 85, 124,"[{F8}, {PageUp}, {PrntScrn}]","[]","[{P}]"
0, 2, 2, 119, 91, 126,"[{F8}, {KP 7}, {PauseBrk}]","[]","[{P}]"
0, 2, 2, 12, 11, 27,"[{-   _}, {0   )}, {[   {}]","[]","[{P}]"
0, 2, 2, 121, 119, 28,"[{F10}, {F8}, {]   }}]","[]","[{P}]"
0, 2, 2, 122, 119, 29,"[{F11}, {F8}, {\   |}]","[]","[{P}]"
0, 2, 2, 123, 119, 75,"[{F12}, {F8}, {Insert}]","[]","[{P}]"
0, 2, 2, 19, 110, 114,"[{E}, {Esc}, {F3}]","[]","[{Tab}]"
0, 2, 2, 2, 17, 1,"[{1   !}, {Q}, {`   ~}]","[]","[{Tab}]"
0, 2, 2, 3, 18, 1,"[{2   @}, {W}, {`   ~}]","[]","[{Tab}]"
0, 2, 2, 39, 86, 85,"[{L}, {PageDn}, {PageUp}]","[]","[{P}]"
0, 2, 2, 4, 19, 1,"[{3   /}, {E}, {`   ~}]","[]","[{Tab}]"
0, 2, 2, 40, 39, 27,"[{;   :}, {L}, {[   {}]","[]","[{P}]"
0, 2, 2, 41, 39, 28,"[{'  "}, {L}, {]   }}]","[]","[{P}]"
0, 2, 2, 43, 39, 29,"[{Enter}, {L}, {\   |}]","[]","[{P}]"
0, 2, 2, 5, 20, 1,"[{4   $}, {R}, {`   ~}]","[]","[{Tab}]"
0, 2, 2, 53, 103, 101,"[{,   <}, {KP 3}, {KP 9}]","[]","[{Tab}]"
0, 2, 2, 53, 54, 27,"[{,   <}, {.   >}, {[   {}]","[]","[{Tab}]"
0, 2, 2, 53, 55, 28,"[{,   <}, {/ ?}, {]   }}]","[]","[{Tab}]"
