0,223,155
1,81,53
2,27,10
3,6,4
4,5,4
5,2,1
6,3,2
7,2,0
8,3,2
9,1,0
10,5,5
11,3,1
12,3,1
13,4,1
14,2,1
15,2,1
16,2,2
17,5,3
18,1,1
19,13,12
20,13,12
21,9,9
22,9,5
23,7,7
24,17,14
25,19,14
26,8,6
27,27,16
28,16,15
29,7,5
30,11,9
31,12,11
32,16,14
33,8,5
34,12,6
35,32,12
36,89,13
37,113,11
38,30,10
39,14,5
40,31,18
41,13,3
42,19,1
43,28,12
44,29,16
45,12,4
46,17,7
47,28,7
48,39,20
49,21,7
50,23,4
51,19,16
52,28,16
53,14,8
54,14,3
55,23,11
56,20,9
57,16,8
58,20,5
59,23,11
60,29,20
61,29,16
62,11,3
63,18,10
64,21,13
65,24,10
66,19,7
67,39,21
68,41,30
69,22,13
70,31,15
71,48,31
72,70,48
73,26,22
74,26,14
75,39,19
76,61,50
77,32,22
78,36,23
79,66,49
80,119,101
81,47,35
82,47,26
83,82,64
84,155,136
85,40,28
86,45,30
87,91,76
88,177,163
89,72,53
90,69,45
91,133,105
92,191,174
93,110,85
94,66,45
95,148,123
96,205,183
97,96,78
98,77,53
99,157,139
100,177,153
101,94,75
102,77,57
103,140,119
104,166,149
105,102,69
106,88,52
107,140,115
108,158,139
109,87,70
110,63,43
111,124,93
112,143,118
113,77,50
114,62,37
115,107,84
116,142,120
117,55,26
118,59,32
119,113,88
120,121,97
121,52,29
122,51,32
123,104,77
124,142,114
125,50,32
126,45,26
127,71,58
128,125,99
129,47,24
130,51,29
131,80,67
132,98,78
133,40,24
134,47,31
135,74,50
136,78,57
137,53,30
138,46,29
139,74,51
140,99,73
141,56,38
142,46,30
143,68,49
144,78,56
145,41,25
146,53,36
147,80,63
148,68,49
149,48,30
150,49,31
151,77,43
152,73,54
153,45,27
154,42,26
155,82,70
156,91,67
157,48,28
158,41,25
159,90,76
160,65,54
161,34,15
162,43,29
163,92,66
164,96,72
165,37,17
166,39,24
167,94,72
168,108,88
169,41,29
170,38,21
171,94,73
172,93,66
173,48,25
174,46,32
175,83,50
176,68,50
177,43,23
178,49,30
179,64,55
180,63,49
181,39,23
182,48,29
183,82,63
184,56,42
185,39,26
186,37,23
187,65,50
188,54,45
189,34,18
190,50,28
191,51,37
192,60,42
193,35,18
194,36,23
195,54,40
196,62,40
197,34,18
198,27,16
199,42,28
200,48,34
201,23,10
202,32,14
203,60,50
204,45,32
205,25,9
206,23,9
207,43,27
208,43,27
209,27,8
210,19,11
211,40,31
212,33,20
213,18,8
214,22,10
215,27,16
216,34,22
217,21,9
218,23,12
219,25,15
220,34,25
221,10,5
222,13,3
223,23,19
224,26,14
225,16,7
226,15,8
227,20,17
228,23,7
229,16,3
230,28,6
231,20,8
232,21,12
233,9,2
234,17,6
235,32,16
236,25,16
237,8,1
238,11,5
239,26,18
240,20,11
241,14,3
242,12,4
243,20,5
244,17,4
245,9,2
246,9,3
247,11,6
248,11,5
249,11,2
250,12,4
251,15,7
252,15,10
253,6,4
254,7,1
255,7,4
256,16,4
257,8,1
258,16,4
259,13,7
260,18,2
261,10,4
262,12,0
263,13,5
264,9,2
265,7,2
266,12,3
267,3,0
268,8,2
269,7,1
270,10,3
271,12,5
272,9,5
273,3,1
274,10,3
275,10,4
276,9,5
277,6,1
278,12,8
279,9,6
280,7,2
281,2,0
282,5,2
283,9,2
284,10,3
285,5,0
286,4,1
287,14,7
288,6,2
289,4,0
290,4,1
291,8,5
292,5,2
293,3,0
294,6,3
295,6,3
296,5,2
297,10,1
298,6,2
299,10,5
300,9,3
301,11,5
302,8,3
303,7,7
304,7,2
305,3,2
306,10,2
307,3,2
308,10,3
309,9,4
310,7,5
311,4,2
312,11,8
313,10,4
314,9,3
315,5,4
316,7,2
317,6,3
318,6,3
319,5,3
320,9,1
321,4,0
322,5,2
323,5,2
324,5,2
325,6,0
326,5,2
327,8,5
328,6,1
329,2,0
330,6,2
331,9,7
332,5,3
333,6,2
334,5,2
335,7,3
